barcode,name,location
840276060540.0,2900-0-Grey-S,A16-405
840276067747.0,7900-3-Midnight-S,A16-500
840276054334.0,8900-8-Grey-L,A16-501
840276067044.0,9900-3-Fig-L,A16-502
840276067174.0,9900-3-Midnight-XL,A16-503
840276061967.0,1414-2-Heather Grey-S,A16-504
840276067914.0,1490-5-Midnight-L,A16-505
840276060557.0,2900-0-Grey-M,A17-100
840276060564.0,2900-0-Grey-L,A17-101
840276060571.0,2900-0-Grey-XL,A17-102
840276060588.0,2900-0-Grey-2X-3X,A17-103
840276060649.0,2900-3-Apricot-S,A17-104
840276060656.0,2900-3-Apricot-M,A17-105
840276060748.0,2900-3-Cloud-S,A17-200
840276060755.0,2900-3-Cloud-M,A17-201
840276060793.0,2900-3-Grey-S,A17-202
840276060809.0,2900-3-Grey-M,A17-203
840276060144.0,2900-6-Apricot-S,A17-204
840276060151.0,2900-6-Apricot-M,A17-205
840276060168.0,2900-6-Apricot-L,A17-300
840276060175.0,2900-6-Apricot-XL,A17-301
840276060182.0,2900-6-Apricot-2X-3X,A17-302
840276060199.0,2900-6-Black-S,A17-303
840276060205.0,2900-6-Black-M,A17-304
840276060212.0,2900-6-Black-L,A17-305
840276060229.0,2900-6-Black-XL,A17-400
840276060243.0,2900-6-Cloud-S,A17-401
840276060250.0,2900-6-Cloud-M,A17-402
840276060267.0,2900-6-Cloud-L,A17-403
840276060274.0,2900-6-Cloud-XL,A17-404
840276060281.0,2900-6-Cloud-2X-3X,A17-405
840276058189.0,2300-0-Coco-S,A17-500
840276070570.0,2300-6-Midnight-S,A17-501
840276060038.0,2500-8-Black-2X-3X,A17-502
840276060014.0,2500-8-Black-L,A17-503
840276058028.0,33620-8-Blush Pink-2X-3X,A17-504
840276046261.0,33620-8-Spring Lake-4X-5X,A17-505
840276060298.0,2900-6-Grey-S,A18-100
840276060304.0,2900-6-Grey-M,A18-101
840276060311.0,2900-6-Grey-L,A18-102
840276060328.0,2900-6-Grey-XL,A18-103
840276060335.0,2900-6-Grey-2X-3X,A18-104
840276060892.0,2900-9-Apricot-XS,A18-105
840276060908.0,2900-9-Apricot-S-M,A18-200
840276060915.0,2900-9-Apricot-L-XL,A18-201
840276060922.0,2900-9-Apricot-2X-3X,A18-202
840276060939.0,2900-9-Black-XS,A18-203
840276060946.0,2900-9-Black-S-M,A18-204
840276060953.0,2900-9-Black-L-XL,A18-205
840276060960.0,2900-9-Black-2X-3X,A18-300
840276060977.0,2900-9-Cloud-XS,A18-301
840276060984.0,2900-9-Cloud-S-M,A18-302
840276060991.0,2900-9-Cloud-L-XL,A18-303
840276061004.0,2900-9-Cloud-2X-3X,A18-304
840276061011.0,2900-9-Grey-XS,A18-305
840276061028.0,2900-9-Grey-S-M,A18-400
840276061035.0,2900-9-Grey-L-XL,A18-401
840276061042.0,2900-9-Grey-2X-3X,A18-402
840276061059.0,2900-9-Surf-XS,A18-403
840276061066.0,2900-9-Surf-S-M,A18-404
840276061073.0,2900-9-Surf-L-XL,A18-405
840276065903.0,5200-2-Dusty Green-XS,A18-500
840276065965.0,5200-2-Fig-XS,A18-501
840276066832.0,9900-8-Midnight-XS,A18-502
840276056352.0,1414-9-Heather Grey-M,A18-503
840276073670.0,2200-4-Copper Rose-2X-3X,A18-504
840276059575.0,2200-6-Apricot-XL,A18-505
840276061080.0,2900-9-Surf-2X-3X,A19-100
840276038419.0,2914-40-Buttercream-XS,A19-101
840276058776.0,2914-40-Coco-XS,A19-102
840276058783.0,2914-40-Coco-S-M,A19-103
840276070624.0,2914-40-Fig-XS,A19-104
840276047190.0,2914-40-Heather Glacier Blue-XS,A19-105
840276070662.0,2914-40-Midnight-XS,A19-200
840276045837.0,2914-40-Navy-XS,A19-201
840276053672.0,2914-40-Sage-XS,A19-202
840276053825.0,2914-40-Sage-2X-3X,A19-203
840276045875.0,2914-40-Spring Lake-XS,A19-204
840276061813.0,2914-40-Surf-XS,A19-205
840276046230.0,33620-8-Black-4X-5X,A19-300
840276046247.0,33620-8-Heather Grey-4X-5X,A19-301
840276046254.0,33620-8-Navy-4X-5X,A19-302
840276066078.0,5200-2-Grey-2X-3X,A19-303
840276067501.0,7900-3-Almond-S,A19-304
840276067518.0,7900-3-Almond-M,A19-305
840276067679.0,7900-3-Grey-XS,A19-400
840276067686.0,7900-3-Grey-S,A19-401
840276067693.0,7900-3-Grey-M,A19-402
840276067709.0,7900-3-Grey-L,A19-403
840276066900.0,9900-3-Almond-S,A19-404
840276066917.0,9900-3-Almond-M,A19-405
840276061660.0,2300-2-Surf-2X-3X,A19-500
840276070587.0,2300-6-Midnight-M,A19-501
840276066009.0,5200-2-Fig-XL,A19-502
840276066627.0,9900-8-Almond-L,A19-503
840276066719.0,9900-8-Fig-XS,A19-504
840276055409.0,1414-8-Coco-S,A19-505
840276066924.0,9900-3-Almond-L,A21-100
840276066931.0,9900-3-Almond-XL,A21-101
840276066955.0,9900-3-Black-XS,A21-102
840276066962.0,9900-3-Black-S,A21-103
840276066979.0,9900-3-Black-M,A21-104
840276066986.0,9900-3-Black-L,A21-105
840276066993.0,9900-3-Black-XL,A21-200
840276067006.0,9900-3-Black-2X-3X,A21-201
840276067013.0,9900-3-Fig-XS,A21-202
840276067020.0,9900-3-Fig-S,A21-203
840276067037.0,9900-3-Fig-M,A21-204
840276067075.0,9900-3-Grey-XS,A21-205
840276067082.0,9900-3-Grey-S,A21-300
840276067099.0,9900-3-Grey-M,A21-301
840276067105.0,9900-3-Grey-L,A21-302
840276067112.0,9900-3-Grey-XL,A21-303
840276067129.0,9900-3-Grey-2X-3X,A21-304
840276067143.0,9900-3-Midnight-S,A21-305
840276067150.0,9900-3-Midnight-M,A21-400
840276067167.0,9900-3-Midnight-L,A21-401
840276066634.0,9900-8-Almond-XL,A21-402
840276066641.0,9900-8-Almond-2X-3X,A21-403
840276066801.0,9900-8-Grey-L,A21-404
840276066818.0,9900-8-Grey-XL,A21-405
840276056239.0,1414-9-Black-2X-3X,A21-500
840276073731.0,2200-6-Indigo-2X-3X,A21-501
840276060236.0,2900-6-Black-2X-3X,A21-502
840276059018.0,7600-80-Coco-M,A21-503
840276067495.0,7900-3-Almond-XS,A21-504
840276062179.0,1414-8-Surf-M,A21-505
840276056116.0,3200-20-Black-OSFM,A22-100
840276056123.0,3200-20-Blush Pink-OSFM,A22-101
840276056130.0,3200-20-Coco-OSFM,A22-102
840276056147.0,3200-20-Dusty Green-OSFM,A22-103
840276056154.0,3200-20-Heather Grey-OSFM,A22-104
840276056161.0,3200-20-Spring Lake-OSFM,A22-105
840276065309.0,5200-7-Almond-XS,A22-200
840276065316.0,5200-7-Almond-S,A22-201
840276065323.0,5200-7-Almond-M,A22-202
840276065330.0,5200-7-Almond-L,A22-203
840276065347.0,5200-7-Almond-XL,A22-204
840276065354.0,5200-7-Almond-2X-3X,A22-205
840276074400.0,9900-6-Copper Rose Dot-XS,A22-300
840276074417.0,9900-6-Copper Rose Dot-S,A22-301
840276074424.0,9900-6-Copper Rose Dot-M,A22-302
840276074431.0,9900-6-Copper Rose Dot-L,A22-303
840276074448.0,9900-6-Copper Rose Dot-XL,A22-304
840276074455.0,9900-6-Copper Rose Dot-2X-3X,A22-305
840276074349.0,9900-6-Indigo Dot-XS,A22-400
840276074356.0,9900-6-Indigo Dot-S,A22-401
840276074363.0,9900-6-Indigo Dot-M,A22-402
840276074370.0,9900-6-Indigo Dot-L,A22-403
840276074387.0,9900-6-Indigo Dot-XL,A22-404
840276074394.0,9900-6-Indigo Dot-2X-3X,A22-405
840276067891.0,1490-5-Midnight-S,A22-500
840276073007.0,2300-0-Copper Rose-XL,A22-501
840276072956.0,2300-0-Indigo White-2X-3X,A22-502
840276060816.0,2900-3-Grey-L,A22-503
840276038440.0,2914-40-Buttercream-2X-3X,A22-504
840276070693.0,2914-40-Midnight-2X-3X,A22-505
840276065361.0,5200-7-Black-XS,A23-100
840276065378.0,5200-7-Black-S,A23-101
840276065385.0,5200-7-Black-M,A23-102
840276065392.0,5200-7-Black-L,A23-103
840276065408.0,5200-7-Black-XL,A23-104
840276065415.0,5200-7-Black-2X-3X,A23-105
840276065422.0,5200-7-Coco-XS,A23-200
840276065439.0,5200-7-Coco-S,A23-201
840276065446.0,5200-7-Coco-M,A23-202
840276065453.0,5200-7-Coco-L,A23-203
840276065460.0,5200-7-Coco-XL,A23-204
840276065477.0,5200-7-Coco-2X-3X,A23-205
840276074523.0,9900-2-Copper Rose Dot-XS,A23-300
840276074530.0,9900-2-Copper Rose Dot-S,A23-301
840276074547.0,9900-2-Copper Rose Dot-M,A23-302
840276074554.0,9900-2-Copper Rose Dot-L,A23-303
840276074561.0,9900-2-Copper Rose Dot-XL,A23-304
840276074578.0,9900-2-Copper Rose Dot-2X-3X,A23-305
840276074462.0,9900-2-Indigo Dot-XS,A23-400
840276074479.0,9900-2-Indigo Dot-S,A23-401
840276074486.0,9900-2-Indigo Dot-M,A23-402
840276074493.0,9900-2-Indigo Dot-L,A23-403
840276074509.0,9900-2-Indigo Dot-XL,A23-404
840276074516.0,9900-2-Indigo Dot-2X-3X,A23-405
840276061189.0,33620-8-Apricot-2X-3X,A23-500
840276067181.0,9900-3-Midnight-2X-3X,A23-501
840276066597.0,9900-8-Almond-XS,A23-502
840276066788.0,9900-8-Grey-S,A23-503
840276067938.0,1490-5-Midnight-2X-3X,A23-504
840276067907.0,1490-5-Midnight-M,A23-505
840276065484.0,5200-7-Dusty Green-XS,A24-100
840276065491.0,5200-7-Dusty Green-S,A24-101
840276065507.0,5200-7-Dusty Green-M,A24-102
840276065514.0,5200-7-Dusty Green-L,A24-103
840276065521.0,5200-7-Dusty Green-XL,A24-104
840276065538.0,5200-7-Dusty Green-2X-3X,A24-105
840276065545.0,5200-7-Fig-XS,A24-200
840276065552.0,5200-7-Fig-S,A24-201
840276065569.0,5200-7-Fig-M,A24-202
840276065576.0,5200-7-Fig-L,A24-203
840276065590.0,5200-7-Fig-2X-3X,A24-204
840276065583.0,5200-7-Fig-XL,A24-205
840276074646.0,7009-6-Copper Rose Dot-XS,A24-300
840276074653.0,7009-6-Copper Rose Dot-S,A24-301
840276074660.0,7009-6-Copper Rose Dot-M,A24-302
840276074677.0,7009-6-Copper Rose Dot-L,A24-303
